,Date,Tweet_id,Verified,Tweet,User,Location,Source,Likes,Followers,Following,Retweets
8634,2020-07-20 18:15:02,1285277049331089409,False,I’m prolife ! Because my father want to abort me. My mother is prolife one chance ! If you are pro abortion don’t f… https://t.co/r5jkbSId2D,Nostalgikannie,,Twitter for iPhone,0,343,1187,0
8635,2020-07-20 18:15:02,1285277048597090305,False,"RT @SweetExoticAng1: **Buck Broken In The Sunken Place**

    WATCH ♦️ LIKE ♦️ SUBSCRIBE 

                  @tariqnasheed…",SonyaB75356240,"University City, Philadelphia",Twitter for Android,0,176,306,39
8636,2020-07-20 18:15:00,1285277041357709313,True,"RT @AttorneyCrump: Dear Kanye, a Black history textbook is in the mail. Read it, then learn to respect Harriet Tubman’s legacy. #kanyewest…",SZReports,Chicago,Twitter Web App,0,5349,2724,3778
8637,2020-07-20 18:14:56,1285277023728996363,False,"RT @AttorneyCrump: Dear Kanye, a Black history textbook is in the mail. Read it, then learn to respect Harriet Tubman’s legacy. #kanyewest…",mahaskagirl,,Twitter Web App,0,496,247,3778
8638,2020-07-20 18:14:53,1285277013528412161,False,RT @thetrue100media: A girl who attended #KanyeWest’s rally in #CharlestonSC explains their now viral debate where he called her out in fro…,ishmeen_97,Canada,Twitter for Android,0,66,159,20
8639,2020-07-20 18:14:47,1285276988001796096,False,All for publicity- Him and the Kardashians are attention seekers and narcissistic just like the Orange One #Kanye… https://t.co/o2GUvbCJwa,Saucy_Sis,FOLLOW ONLY!- I DELETE LISTS,Twitter for iPhone,1,973,1047,0
8640,2020-07-20 18:14:40,1285276955462508544,False,@canyontide jay nation tbh #ExtremeRules          #KanyeWest #ExtremeRules2020 #entanglement #90dayfiance #TheChi  … https://t.co/9F9aNJbI8j,stylestbsl,she/her ,Twitter for iPhone,1,1440,563,0
8641,2020-07-20 18:14:37,1285276942342774784,False,#Kardashians where you at? Ye is out here screaming for help. Y’all just let him go up there knowing he isn’t menta… https://t.co/fp06DID1mN,ymp_100,,Twitter for iPhone,0,26,444,0
8642,2020-07-20 18:14:23,1285276884650070018,False,Same he needs help and not condemnation from ya goofies on twitter #KanyeWest https://t.co/sAPMwCqqYy,xlPSRlx,,Twitter for iPhone,1,134,231,0
8643,2020-07-20 18:14:17,1285276859286970368,False,RT @treymarley22: BREAKING NEWS!!!!!  Kim Kardashian turned into Spider-Man. After being asked about  #KanyeWest 💀 https://t.co/g5Snq7xIbq,dan_yoo7,"Riverside, CA",Twitter for iPhone,0,215,585,88
8644,2020-07-20 18:13:53,1285276761685725184,False,"RT @keepgrinding914: Here’s Kanye crying and screaming “I almost killed my daughter.”

#KanyeWest 
https://t.co/NT3t5tStW3",khandie_a,,Twitter for iPhone,0,634,207,309
8645,2020-07-20 18:13:43,1285276716324315136,False,RT @treymarley22: BREAKING NEWS!!!!!  Kim Kardashian turned into Spider-Man. After being asked about  #KanyeWest 💀 https://t.co/g5Snq7xIbq,chrisssypooooo,"New York, NY",Twitter for iPhone,0,115,335,88
