Date,Tweet_id,Verified,Text,User,Location,Source,Likes,Followers,Following,Retweets
16-07-2020 04:17,1.28362E+18,FALSE,#kanyewest is officially on the ballet In Oklahoma,genztrader,"Los Angeles, CA",Twitter for iPhone,0,70,195,0
16-07-2020 04:17,1.28362E+18,TRUE,"#KanyeWest secures #Oklahoma presidential ballot spot

#UsElection

https://t.co/OwNZcnGtaj https://t.co/aVW5QohJL2",worldnewsdotcom,,TweetDeck,0,20108,5319,1
16-07-2020 04:15,1.28362E+18,FALSE,"👆#twitterhacked
Many @verified Twitter accounts including that of 
🐦Joe Biden
🐦#KimKardashian
🐦#BarackObama
🐦#ElonMusk
🐦#KanyeWest 
🐦Jeff Bezos
🐦Warren Buffett 
🐦Bill Gates
🐦Uber 
🐦Apple
were compromised &amp; posted tweets that appeared to promote a #cryptocurrency scam😳",NavkarNews,"Surendranagar, Gujarat, India",Twitter for Android,7,2227,376,1
16-07-2020 04:15,1.28362E+18,FALSE,"Painted this cap for a wonderfully graduate! 
#KanyeWest #Kanye2020 #Graduation2020 #ArtistOnTwitter #artists #FYP https://t.co/zNFGbsfLJK",emilyvstudio,"New Orleans, LA",Twitter for iPhone,3,8,62,0
16-07-2020 04:11,1.28362E+18,TRUE,"#twitterhacked
Many @verified Twitter accounts including that of 
🐦Joe Biden
🐦#KimKardashian
🐦#BarackObama
🐦#ElonMusk
🐦#KanyeWest 
🐦Jeff Bezos
🐦Warren Buffett 
🐦Bill Gates
🐦Uber 
🐦Apple
were compromised &amp; posted tweets that appeared to promote a #cryptocurrency scam😳",kumarmanish9,India,Twitter for Android,7,15783,2348,10
16-07-2020 04:10,1.28362E+18,FALSE,@defjam Old Poster when Kanye West did a show with Tupac and Notorious B.I.G when he was 17 at the Regal in Chicago.  #kanyewest #president #chicago #celebritystatusproduction #tmscrew #krumtmschicago https://t.co/ZfZCLg38rD,CelebrityStat10,"Chicago, IL",Twitter for iPhone,11,563,2548,2
16-07-2020 04:01,1.28361E+18,FALSE,#KanyeWest is the President of Mars and Elon is the KING 👑 https://t.co/FqKnREkWAk,pallav_,New Delhi,Twitter for iPhone,1,6733,7313,1
16-07-2020 04:01,1.28361E+18,TRUE,Details into #KanyeWest deciding to drop out of the presidential race are coming up for you on #iHeartRadioNights - @itsshannonburns https://t.co/1JhvZekqco,VirginRadioTO,Toronto,TweetDeck,1,45128,2964,0
16-07-2020 04:00,1.28361E+18,FALSE,"When Jay-Z speaks, you listen.
When Kanye West Speaks, you think.

If you're a @kanyewest fan, you are not a fan of him, you're a fan of yourself. #KanyeWest #JayZ https://t.co/9ceBKzOZPY",gmaneinsteinein,"Maryland, USA",Twitter for Android,2,938,995,0
16-07-2020 04:00,1.28361E+18,FALSE,"WHEN DA #SATIVA WEARS OFF !!!

https://t.co/SdvZYFqxyq

#USA #EGO #Elon #ELonMusk #kanye #kanyewest #aMERICA #VOTE #RidinWithBiden #lEGALIZEIT #GREENCLOUDARTORG #lEGALIZE #MMJ #lEGALIZELEGENDS #onELOVE #STONERFAM #LEGALIZEUSA #LEGALIZEEARTH #LEGALIZEAMERICA #CBD #CANNABIS #GANJA",GriffKohout,#Doorstown LA VENICE BEACH USA,Twitter Web App,2,1255,5004,1
16-07-2020 03:57,1.28361E+18,FALSE,"#China or #Hackers it's had to touch @realDonaldTrump 😬 but #Biden #KanyeWest failed to protect their accounts 😂 its predicts their future 
#US #Trump",Madhusu02839764,"Madipakkam, Sholinganallur",Twitter for Android,0,25,367,0
16-07-2020 03:57,1.28361E+18,FALSE,"#KanyeWest drops from the POTUS race!? Well... that was fast😂

#kanyewestisoverparty",Kashg_07,India,Twitter for Android,1,163,54,1
16-07-2020 03:56,1.28361E+18,FALSE,Now on eBay Adidas Yeezy Boost 380 Mist FX9764 Non-Reflective Size 11 https://t.co/ObkrqHHRNQ #yeezy #adidas #kanyewest https://t.co/mtDyBRrUAQ,SneakerFeeds,New York,dlvr.it,0,28,41,0
16-07-2020 03:53,1.28361E+18,FALSE,"#Rapper #KanyeWest Files for #Oklahoma #Presidential #Ballot  [""https://t.co/aI0fTu7kNM""]",RajRama,"Toronto, Ontario Canada",Twitter for Android,0,5214,11284,0
16-07-2020 03:52,1.28361E+18,FALSE,"Netflix to launch a new series 
""The great crypto heist of Twitter"".
Starring - group of anonymous hackers and #JeffBezos, #BillGates,
#KanyeWest, #BarackObama , #JoeBiden , #DonaldTrump (Arturo roman).",pramit228,Surat,Twitter for Android,2,3,119,0
16-07-2020 03:49,1.28361E+18,FALSE,Noticed one thing? All #twitterhacked accounts are of @realDonaldTrump's opposers or whom he had problem with.... #Hackers  support #Trump 😂😂😂  #Hacked #bitcoinhack #Bitcoin #fraud Barack Obama #JoeBiden #KanyeWest #Bloomberg #ElonMusk #elonmuskhacked #JeffBezos,DivyVasavada,India,Twitter for Android,2,63,190,0
16-07-2020 03:48,1.28361E+18,FALSE,"#Bitcoin scammers #hacked the following #twitter accounts in apparent #cryptocurrency giveaway scam

#BarackObama
#BillGates
#Apple
#KanyeWest
#ElonMusk
#JoeBiden
#WarrenBuffett
#Hacked
#Uber
#JeffBezos 
@billgatesaz @Twitter @barackadama @Uber_Comms https://t.co/rGkP9B8GCw",Omar_Yo_,,Twitter for Android,0,43,57,0
16-07-2020 03:44,1.28361E+18,FALSE,"#Twitter accounts that were hacked:

- #Apple
- #ElonMusk 
- #BillGates 
- #WarrenBuffett 
- #JeffBezos
- #MikeBloomberg 
- #BarackObama
- #JoeBiden 
- #KanyeWest 
- #KimKardashian
- PM #BenjaminNetanyahu",Naren_katta,"Jodhpur, India",Twitter for Android,2,30,222,0
16-07-2020 03:40,1.28361E+18,FALSE,"I Want All The Smoke - Episode 99 | “Entanglement…"" is available now on all your favourite podcast streaming platforms or hit the direct link below!
https://t.co/8WRWGy1s7X
#WillSmith #Jada #Entanglement  #KanyeWest #WestSideGunn #COVID19 #LockDown https://t.co/1wtPCJci1z",AllTheSmokePod,Global,Hootsuite Inc.,0,178,320,0
16-07-2020 03:38,1.28361E+18,FALSE,"Singer Kanye West said that he will run for the President of United States this November. If he wins, it's going to be Wild Wild West in the US, literally.
#2020 #Election2020 #KanyeWest #DonaldTrump",tisIssigdel,"Mt. Everest, Nepal",Twitter Web App,0,146,88,0
